Rk,Year,Player,Pos,Age,AV,School,,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2007,Selvin Young,RB,23,9,Texas,College Stats,5/11,207,4.58,,,,,,
2,2007,Marshal Yanda,OT,22,116,Florida State,College Stats,6/4,307,5.15,,,,,,Baltimore Ravens / 3rd / 86th pick / 2007
3,2007,DeShawn Wynn,RB,23,3,Florida,College Stats,5/10,232,4.47,31.5,,115,,,Green Bay Packers / 7th / 228th pick / 2007
4,2007,Mansfield Wrotto,OG,22,6,Georgia Tech,College Stats,6/3,317,5.4,,27,92,8.34,4.92,Seattle Seahawks / 4th / 124th pick / 2007
5,2007,Eric Wright,CB,21,36,UNLV,College Stats,5/11,192,4.36,36.5,16,123,6.93,4.23,Cleveland Browns / 2nd / 53rd pick / 2007
6,2007,Dwayne Wright,RB,23,1,Fresno State,College Stats,5/11,228,4.66,34,14,115,7.23,4.43,Buffalo Bills / 4th / 111th pick / 2007
7,2007,LaMarr Woodley,DE,22,61,Michigan,College Stats,6/1,266,4.74,,,,,,Pittsburgh Steelers / 2nd / 46th pick / 2007
8,2007,D'Juan Woods,WR,22,0,Oklahoma State,College Stats,6/1,208,4.58,36.5,,120,6.89,4.34,
9,2007,Garrett Wolfe,RB,22,2,Northern Illinois,College Stats,5/7,186,4.39,35.5,22,116,6.69,4.08,Chicago Bears / 3rd / 93rd pick / 2007
10,2007,Josh Wilson,CB,21,38,Maryland,College Stats,5/9,189,4.39,36.5,20,120,7.07,4.43,Seattle Seahawks / 2nd / 55th pick / 2007
11,2007,C.J. Wilson,CB,21,1,Baylor,College Stats,6/1,195,4.62,37.5,,127,6.81,4.2,Carolina Panthers / 7th / 226th pick / 2007
12,2007,Patrick Willis,ILB,22,108,Mississippi,College Stats,6/1,242,4.51,39,22,119,7.23,4.46,San Francisco 49ers / 1st / 11th pick / 2007
13,2007,Paul Williams,WR,23,0,Fresno State,College Stats,6/1,205,4.45,38.5,,125,7.03,4.24,Tennessee Titans / 3rd / 80th pick / 2007
14,2007,Marvin White,S,23,8,TCU,College Stats,6/1,199,4.54,33.5,17,,,,Cincinnati Bengals / 4th / 114th pick / 2007
15,2007,John Wendling,S,23,8,Wyoming,College Stats,6/1,222,4.48,38.5,22,129,6.96,4.16,Buffalo Bills / 6th / 184th pick / 2007
16,2007,Eric Weddle,S,22,115,Utah,College Stats,5/11,203,4.48,33.5,11,113,6.78,4.12,San Diego Chargers / 2nd / 37th pick / 2007
17,2007,Anthony Waters,ILB,22,2,Clemson,College Stats,6/3,245,4.59,,25,,,,San Diego Chargers / 3rd / 96th pick / 2007
18,2007,Dallas Sartz,OLB,,,USC,College Stats,6/5,235,4.71,33.5,20,111,6.85,4.13,Washington Redskins / 5th / 143rd pick / 2007
19,2007,Mike Sims-Walker,WR,22,17,Central Florida,College Stats,6/2,209,4.35,36.5,18,121,6.92,4.39,Jacksonville Jaguars / 3rd / 79th pick / 2007
20,2007,Darius Walker,RB,21,3,Notre Dame,College Stats,5/10,206,4.55,40.5,19,123,7.18,4.39,
21,2007,Jonathan Wade,CB,22,7,Tennessee,College Stats,5/10,195,4.36,40.5,,126,7.07,4.4,St. Louis Rams / 3rd / 84th pick / 2007
22,2007,Tony Ugoh,OT,23,18,Arkansas,College Stats,6/5,301,5.06,32.5,32,117,,,Indianapolis Colts / 2nd / 42nd pick / 2007
23,2007,Tank Tyler,DT,22,11,North Carolina State,,6/2,306,5.18,28.5,42,,,,Kansas City Chiefs / 3rd / 82nd pick / 2007
24,2007,Matt Toeaina,DT,22,12,Oregon,,6/2,307,5.11,,26,,,,Cincinnati Bengals / 6th / 187th pick / 2007
25,2007,Lawrence Timmons,OLB,20,89,Florida State,College Stats,6/1,234,4.66,35,25,123,6.89,4.32,Pittsburgh Steelers / 1st / 15th pick / 2007
26,2007,Marcus Thomas,DT,21,15,Florida,College Stats,6/3,314,5.23,,27,,,,Denver Broncos / 4th / 121st pick / 2007
27,2007,Joe Thomas,OT,22,108,Wisconsin,College Stats,6/7,311,4.92,33,28,110,7.95,4.88,Cleveland Browns / 1st / 3rd pick / 2007
28,2007,Tony Taylor,OLB,22,1,Georgia,College Stats,6/1,236,4.92,32,26,108,7.17,4.36,
29,2007,Courtney Taylor,WR,22,1,Auburn,College Stats,6/2,204,4.5,36,,122,7.22,4.28,Seattle Seahawks / 6th / 197th pick / 2007
30,2007,Chris Denman,OT,,,Fresno State,College Stats,6/6,315,5.62,27.5,21,97,8.1,4.92,Tampa Bay Buccaneers / 7th / 214th pick / 2007
31,2007,Kasey Studdard,OG,22,8,Texas,,6/2,303,5.18,,32,,,,Houston Texans / 6th / 183rd pick / 2007
32,2007,Chansi Stuckey,WR,23,10,Clemson,College Stats,5/11,197,4.56,35,,120,6.91,4.14,New York Jets / 7th / 235th pick / 2007
33,2007,Daren Stone,S,21,2,Maine,,6/3,218,4.58,39,13,132,7.13,4.44,Atlanta Falcons / 6th / 203rd pick / 2007
34,2007,Syndric Steptoe,WR,22,1,Arizona,College Stats,5/9,194,4.59,33,17,,,,Cleveland Browns / 7th / 234th pick / 2007
35,2007,Isaiah Stanback,QB,22,0,Washington,College Stats,6/2,216,4.6,,22,,,,Dallas Cowboys / 4th / 103rd pick / 2007
36,2007,Drew Stanton,QB,22,10,Michigan State,College Stats,6/3,226,4.75,30.5,,108,6.77,4.41,Detroit Lions / 2nd / 43rd pick / 2007
37,2007,Joe Staley,OT,22,104,Central Michigan,College Stats,6/6,306,4.79,,27,,,,San Francisco 49ers / 1st / 28th pick / 2007
38,2007,Anthony Spencer,DE,23,37,Purdue,College Stats,6/3,261,4.7,32.5,30,112,7.14,4.43,Dallas Cowboys / 1st / 26th pick / 2007
39,2007,Matt Spaeth,TE,23,2,Minnesota,College Stats,6/7,270,4.83,,,,,,Pittsburgh Steelers / 3rd / 77th pick / 2007
40,2007,Paul Soliai,DT,23,47,Utah,College Stats,6/4,344,5.1,29.5,,103,7.66,4.69,Miami Dolphins / 4th / 108th pick / 2007
41,2007,Jason Snelling,FB,23,23,Virginia,College Stats,5/11,230,4.79,30,,111,7.06,4.37,Atlanta Falcons / 7th / 244th pick / 2007
42,2007,Troy Smith,QB,22,6,Ohio State,College Stats,6/1,225,4.72,,,,,,Baltimore Ravens / 5th / 174th pick / 2007
43,2007,Steve Smith,WR,21,24,USC,College Stats,6/1,197,4.44,38,,120,6.68,4.19,New York Giants / 2nd / 51st pick / 2007
44,2007,Kolby Smith,RB,22,4,Louisville,College Stats,5/11,220,4.5,38,18,114,7.22,4.34,Kansas City Chiefs / 5th / 148th pick / 2007
45,2007,Kelvin Smith,ILB,22,0,Syracuse,College Stats,6/2,240,4.8,32,26,110,7.19,4.42,Miami Dolphins / 7th / 219th pick / 2007
46,2007,Brandon Siler,ILB,21,13,Florida,College Stats,6/2,241,4.62,30.5,,109,7.34,,San Diego Chargers / 7th / 240th pick / 2007
47,2007,Tim Shaw,OLB,22,7,Penn State,College Stats,6/1,236,4.51,36.5,26,116,7.01,4.12,Carolina Panthers / 5th / 164th pick / 2007
48,2007,Jay Moore,DE,,,Nebraska,College Stats,6/5,274,4.92,34,26,118,7.19,4.35,San Francisco 49ers / 4th / 104th pick / 2007
49,2007,Daniel Sepulveda,P,23,7,Baylor,College Stats,6/3,229,4.62,,,,,,Pittsburgh Steelers / 4th / 112th pick / 2007
50,2007,Arron Sears,OG,22,14,Tennessee,College Stats,6/3,319,5.09,,21,,,,Tampa Bay Buccaneers / 2nd / 35th pick / 2007
51,2007,Derek Schouman,FB,21,2,Boise State,College Stats,6/2,247,4.74,37.5,27,122,7,4.27,Buffalo Bills / 7th / 222nd pick / 2007
52,2007,Samson Satele,C,22,56,Hawaii,College Stats,6/3,300,5.24,33,25,101,7.47,4.29,Miami Dolphins / 2nd / 60th pick / 2007
53,2007,Dan Santucci,OG,23,0,Notre Dame,College Stats,6/3,301,5.13,29,23,102,7.47,4.74,Cincinnati Bengals / 7th / 230th pick / 2007
54,2007,Clifton Ryan,DT,23,13,Michigan State,College Stats,6/3,310,5.12,26.5,25,102,7.49,4.69,St. Louis Rams / 5th / 154th pick / 2007
55,2007,JaMarcus Russell,QB,21,6,LSU,College Stats,6/5,265,4.83,,,,,,Oakland Raiders / 1st / 1st pick / 2007
56,2007,Gary Russell,RB,20,2,Minnesota,College Stats,5/10,229,4.77,31.5,9,113,,4.54,
57,2007,Jeff Rowe,QB,22,0,Nevada,College Stats,6/5,226,4.91,29.5,,114,7.16,4.42,Cincinnati Bengals / 5th / 151st pick / 2007
58,2007,Aaron Rouse,S,23,8,Virginia Tech,College Stats,6/4,223,4.58,35,16,,,,Green Bay Packers / 3rd / 89th pick / 2007
59,2007,Aaron Ross,CB,24,22,Texas,College Stats,6/1,193,4.44,34,17,118,6.67,4.15,New York Giants / 1st / 20th pick / 2007
60,2007,Dante Rosario,TE,22,10,Oregon,College Stats,6/3,244,4.78,36,20,115,6.96,4.47,Carolina Panthers / 5th / 155th pick / 2007
61,2007,Ryne Robinson,WR,22,0,Miami (OH),College Stats,5/9,179,4.47,35,,123,6.71,4.21,Carolina Panthers / 4th / 118th pick / 2007
62,2007,Laurent Robinson,WR,21,17,Illinois State,,6/2,199,4.38,39,19,127,6.83,4.28,Atlanta Falcons / 3rd / 75th pick / 2007
63,2007,Gijon Robinson,FB,22,3,Missouri Western State,,6/1,255,4.71,33,21,116,7.23,4.43,
64,2007,Brian Robison,DE,23,56,Texas,College Stats,6/3,259,4.67,40.5,27,121,6.89,4.26,Minnesota Vikings / 4th / 102nd pick / 2007
65,2007,Jay Richardson,DE,23,12,Ohio State,College Stats,6/6,279,5,33,20,112,7.5,4.54,Oakland Raiders / 5th / 138th pick / 2007
66,2007,Sidney Rice,WR,20,36,South Carolina,College Stats,6/3,200,4.51,39.5,,119,7.09,4.34,Minnesota Vikings / 2nd / 44th pick / 2007
67,2007,Darrelle Revis,CB,21,110,Pittsburgh,College Stats,5/11,204,4.38,,16,,,,New York Jets / 1st / 14th pick / 2007
68,2007,Jared Retkofsky,LS,23,1,TCU,College Stats,6/5,265,4.91,,,,,,
69,2007,Manny Ramirez,OG,24,36,Texas Tech,College Stats,6/3,326,5.24,,40,,,,Detroit Lions / 4th / 117th pick / 2007
70,2007,Keith Jackson,DT,,,Arkansas,College Stats,6/1,305,5.05,30,33,,7.65,4.56,St. Louis Rams / 7th / 248th pick / 2007
71,2007,Ken Shackleford,OT,,,Georgia,,6/5,322,5.3,24.5,28,102,8.35,5.05,St. Louis Rams / 6th / 190th pick / 2007
72,2007,Brady Quinn,QB,22,2,Notre Dame,College Stats,6/4,232,4.73,,24,,,,Cleveland Browns / 1st / 22nd pick / 2007
73,2007,Paul Posluszny,OLB,22,73,Penn State,College Stats,6/2,238,4.7,37,22,116,6.94,4.2,Buffalo Bills / 2nd / 34th pick / 2007
74,2007,Adam Podlesh,P,23,9,Maryland,College Stats,5/11,202,4.54,,,,,,Jacksonville Jaguars / 4th / 101st pick / 2007
75,2007,Antonio Pittman,RB,21,3,Ohio State,College Stats,5/11,207,4.4,35.5,16,123,6.84,4.16,New Orleans Saints / 4th / 107th pick / 2007
76,2007,Quinn Pitcock,DT,23,1,Ohio State,College Stats,6/2,299,4.93,34,,112,,,Indianapolis Colts / 3rd / 98th pick / 2007
77,2007,Cameron Stephenson,OG,,,Rutgers,,6/3,306,5.4,28.5,34,101,7.72,4.81,Pittsburgh Steelers / 5th / 156th pick / 2007
78,2007,Sabby Piscitelli,S,23,16,Oregon State,College Stats,6/3,224,4.47,34.5,19,122,6.84,3.9,Tampa Bay Buccaneers / 2nd / 64th pick / 2007
79,2007,Nate Ilaoa,RB,,,Hawaii,College Stats,5/9,245,4.77,30,25,103,7.1,4.42,Philadelphia Eagles / 7th / 236th pick / 2007
80,2007,C.J. Gaddis,S,,,Clemson,College Stats,5/11,203,4.45,36.5,20,121,7.28,4.3,Philadelphia Eagles / 5th / 159th pick / 2007
81,2007,Adrian Peterson,RB,21,127,Oklahoma,College Stats,6/1,217,4.4,38.5,,127,7.09,4.4,Minnesota Vikings / 1st / 7th pick / 2007
82,2007,Kevin Payne,S,23,10,La-Monroe,College Stats,6/1,220,4.6,35,20,106,7,4.3,Chicago Bears / 5th / 167th pick / 2007
83,2007,Ben Patrick,TE,22,4,Duke,College Stats,6/3,252,4.74,34.5,,111,7.21,4.31,Arizona Cardinals / 7th / 215th pick / 2007
84,2007,Marcus Paschal,S,22,0,Iowa,College Stats,6/1,201,4.59,33,15,,7.31,4.72,
85,2007,Jordan Palmer,QB,22,0,Texas-El Paso,College Stats,6/6,231,4.98,30.5,,104,7.32,4.58,Washington Redskins / 6th / 205th pick / 2007
86,2007,Tyler Palko,QB,23,2,Pittsburgh,College Stats,6/1,215,4.83,31.5,,112,7.05,4.36,
87,2007,Ryan Smith,CB,,,Florida,College Stats,5/10,174,4.51,,11,,,,Tennessee Titans / 6th / 206th pick / 2007
88,2007,Joel Filani,WR,,,Texas Tech,College Stats,6/2,211,4.57,32.5,17,117,,,Tennessee Titans / 6th / 188th pick / 2007
89,2007,Greg Olsen,TE,21,77,Miami (FL),College Stats,6/6,254,4.51,35.5,23,114,7.04,4.48,Chicago Bears / 1st / 31st pick / 2007
90,2007,Amobi Okoye,DT,19,26,Louisville,College Stats,6/2,302,5.07,30,29,111,7.46,,Houston Texans / 1st / 10th pick / 2007
91,2007,Uche Nwaneri,OG,22,42,Purdue,,6/3,325,5.37,,24,,,,Jacksonville Jaguars / 5th / 149th pick / 2007
92,2007,Chad Nkang,S,21,3,Elon,,5/11,220,4.52,36.5,23,118,7.1,4.34,Jacksonville Jaguars / 7th / 251st pick / 2007
93,2007,Stephen Nicholas,OLB,23,29,South Florida,College Stats,6/1,232,4.64,33.5,29,110,7.29,4.45,Atlanta Falcons / 4th / 109th pick / 2007
94,2007,Reggie Nelson,S,23,80,Florida,College Stats,5/11,198,4.48,34.5,,,,,Jacksonville Jaguars / 1st / 21st pick / 2007
95,2007,Chinedum Ndukwe,S,22,16,Notre Dame,College Stats,6/2,206,4.49,37.5,15,,,,Cincinnati Bengals / 7th / 253rd pick / 2007
96,2007,Legedu Naanee,WR,23,14,Boise State,College Stats,6/2,225,4.41,40,19,119,,,San Diego Chargers / 5th / 172nd pick / 2007
97,2007,Jarvis Moss,DE,22,3,Florida,College Stats,6/6,250,4.7,30.5,16,120,,,Denver Broncos / 1st / 17th pick / 2007
98,2007,Quentin Moses,DE,23,5,Georgia,College Stats,6/5,261,4.82,32,17,115,7.38,4.53,Oakland Raiders / 3rd / 65th pick / 2007
99,2007,Marvin Mitchell,ILB,22,13,Tennessee,College Stats,6/3,249,4.87,32,22,108,7.29,4.25,New Orleans Saints / 7th / 220th pick / 2007
100,2007,Chandler Williams,WR,,,Florida International,College Stats,5/11,184,4.42,32.5,,123,6.99,4.29,Minnesota Vikings / 7th / 233rd pick / 2007
101,2007,Martrez Milner,TE,22,0,Georgia,College Stats,6/4,252,4.79,34,19,117,7.35,4.49,Atlanta Falcons / 4th / 133rd pick / 2007
102,2007,Zach Miller,TE,21,32,Arizona State,College Stats,6/4,256,4.87,34,,115,7.01,4.42,Oakland Raiders / 2nd / 38th pick / 2007
103,2007,Abraham Wright,DE,,,Colorado,College Stats,6/2,242,4.9,31,24,111,7.2,4.46,Miami Dolphins / 7th / 238th pick / 2007
104,2007,Drew Mormino,C,,,Central Michigan,,6/3,299,5.32,28,27,105,7.48,4.53,Miami Dolphins / 6th / 199th pick / 2007
105,2007,Brandon Meriweather,S,23,37,Miami (FL),College Stats,5/11,195,4.47,35,11,111,7.06,4.33,New England Patriots / 1st / 24th pick / 2007
106,2007,Justin Medlock,K,23,1,UCLA,College Stats,6/1,201,4.89,,,,,,Kansas City Chiefs / 5th / 160th pick / 2007
107,2007,Brandon Mebane,DT,22,85,California,College Stats,6/1,309,5.15,24,24,106,7.94,4.65,Seattle Seahawks / 3rd / 85th pick / 2007
108,2007,Robert Meachem,WR,22,29,Tennessee,College Stats,6/2,214,4.39,37.5,,121,6.97,4.31,New Orleans Saints / 1st / 27th pick / 2007
109,2007,Ray McDonald,DE,22,40,Florida,College Stats,6/3,276,4.88,,,,,,San Francisco 49ers / 3rd / 97th pick / 2007
110,2007,Brandon McDonald,CB,21,16,Memphis,College Stats,5/11,181,4.58,33,17,118,7.44,4.76,Cleveland Browns / 5th / 140th pick / 2007
111,2007,LeRon McClain,FB,22,13,Alabama,College Stats,6/1,256,4.75,29.5,14,113,7.14,4.47,Baltimore Ravens / 4th / 137th pick / 2007
112,2007,Marcus McCauley,CB,23,4,Fresno State,College Stats,6/1,203,4.39,36,17,129,6.61,4.17,Minnesota Vikings / 3rd / 72nd pick / 2007
113,2007,Turk McBride,DT,21,14,Tennessee,College Stats,6/2,277,4.81,31,27,108,7.1,4.12,Kansas City Chiefs / 2nd / 54th pick / 2007
114,2007,Trumaine McBride,CB,21,15,Mississippi,College Stats,5/9,185,4.57,34.5,14,122,6.96,4.32,Chicago Bears / 7th / 221st pick / 2007
115,2007,Ryan McBean,DT,22,11,Oklahoma State,College Stats,6/4,286,4.98,28,27,108,7.79,4.46,Pittsburgh Steelers / 4th / 132nd pick / 2007
116,2007,James Marten,OT,22,0,Boston Col.,College Stats,6/7,309,5.08,30.5,,100,7.68,4.54,Dallas Cowboys / 3rd / 67th pick / 2007
117,2007,Marshawn Lynch,RB,20,90,California,College Stats,5/11,215,4.46,35.5,20,125,7.05,4.55,Buffalo Bills / 1st / 12th pick / 2007
118,2007,Brian Leonard,RB,23,12,Rutgers,College Stats,6/1,226,4.52,34.5,28,122,6.88,4.22,St. Louis Rams / 2nd / 52nd pick / 2007
119,2007,LaRon Landry,S,22,45,LSU,College Stats,6/1,213,4.35,37.5,,123,,,Washington Redskins / 1st / 6th pick / 2007
120,2007,Derek Landri,DT,23,16,Notre Dame,College Stats,6/2,288,4.96,,24,,,,Jacksonville Jaguars / 5th / 166th pick / 2007
