Rk,Year,Player,Pos,Age,AV,School,,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2012,Markus Zusevics,OT,22,0,Iowa,,6/5,303,5.08,,,,,,
2,2012,Kevin Zeitler,OG,21,62,Wisconsin,College Stats,6/4,314,5.32,29,32,101,7.77,4.61,Cincinnati Bengals / 1st / 27th pick / 2012
3,2012,Desmond Wynn,OG,23,0,Rutgers,College Stats,6/5,303,4.98,32.5,28,,,,
4,2012,Devon Wylie,WR,23,0,Fresno State,College Stats,5/9,187,4.36,39,17,123,,,Kansas City Chiefs / 4th / 107th pick / 2012
5,2012,Kendall Wright,WR,22,31,Baylor,College Stats,5/10,196,4.49,38.5,,121,6.93,4.18,Tennessee Titans / 1st / 20th pick / 2012
6,2012,Jarius Wright,WR,22,27,Arkansas,College Stats,5/10,182,4.39,38,11,120,6.93,4.03,Minnesota Vikings / 4th / 118th pick / 2012
7,2012,Jerel Worthy,DT,21,4,Michigan State,College Stats,6/2,308,5,28.5,,107,7.6,4.56,Green Bay Packers / 2nd / 51st pick / 2012
8,2012,Derek Wolfe,DT,22,60,Cincinnati,College Stats,6/5,295,4.93,33.5,33,108,7.26,4.44,Denver Broncos / 2nd / 36th pick / 2012
9,2012,Billy Winn,DE,22,16,Boise State,College Stats,6/4,294,4.86,27,24,107,7.37,4.44,Cleveland Browns / 6th / 205th pick / 2012
10,2012,Russell Wilson,QB,23,147,Wisconsin,College Stats,5/11,204,4.53,34,,118,6.97,4.09,Seattle Seahawks / 3rd / 75th pick / 2012
11,2012,David Wilson,RB,20,5,Virginia Tech,College Stats,5/10,206,4.38,41,,132,7.09,4.12,New York Giants / 1st / 32nd pick / 2012
12,2012,Kyle Wilber,OLB,22,16,Wake Forest,College Stats,6/4,249,4.73,33.5,25,117,7.11,4.31,Dallas Cowboys / 4th / 113th pick / 2012
13,2012,Tahir Whitehead,OLB,21,48,Temple,College Stats,6/1,233,4.62,37,21,124,7.14,4.37,Detroit Lions / 5th / 138th pick / 2012
14,2012,Jordan White,WR,23,0,West. Michigan,College Stats,6/1,208,4.63,35,14,119,6.84,4.13,New York Jets / 7th / 244th pick / 2012
15,2012,Fozzy Whittaker,RB,23,8,Texas,College Stats,5/9,193,4.49,,20,,,,
16,2012,Corey White,S,21,13,Samford,,5/11,206,4.53,37.5,15,126,6.72,4.22,New Orleans Saints / 5th / 162nd pick / 2012
17,2012,Brandon Weeden,QB,28,14,Oklahoma State,College Stats,6/3,221,4.89,,,,,,Cleveland Browns / 1st / 22nd pick / 2012
18,2012,Rokevious Watkins,OG,23,1,South Carolina,,6/4,338,5.29,27,,102,7.87,4.9,St. Louis Rams / 5th / 150th pick / 2012
19,2012,Brandon Washington,OG,23,0,Miami (FL),College Stats,6/3,320,5.14,25,28,101,8.22,4.87,Philadelphia Eagles / 6th / 200th pick / 2012
20,2012,Blair Walsh,K,22,15,Georgia,College Stats,5/9,187,4.96,,,,,,Minnesota Vikings / 6th / 175th pick / 2012
21,2012,Dustin Waldron,OT,21,0,Portland State,,6/5,305,5.23,26,29,103,7.93,4.75,
22,2012,Trevin Wade,CB,22,5,Arizona,College Stats,5/10,192,4.52,34.5,18,116,6.87,4,Cleveland Browns / 7th / 245th pick / 2012
23,2012,Olivier Vernon,DE,21,60,Miami (FL),College Stats,6/2,261,4.73,34.5,31,122,7.39,4.5,Miami Dolphins / 3rd / 72nd pick / 2012
24,2012,Courtney Upshaw,DE,22,30,Alabama,College Stats,6/2,272,4.74,,22,,,,Baltimore Ravens / 2nd / 35th pick / 2012
25,2012,DeAngelo Tyson,DT,22,6,Georgia,College Stats,6/2,315,5,,,,,,Baltimore Ravens / 7th / 236th pick / 2012
26,2012,Robert Turbin,RB,22,17,Utah State,College Stats,5/10,222,4.42,36,28,122,7.16,4.31,Seattle Seahawks / 4th / 106th pick / 2012
27,2012,Christian Tupou,DT,22,0,USC,College Stats,6/2,289,5.38,24,30,92,8.07,4.87,
28,2012,Johnnie Troutman,OG,24,14,Penn State,College Stats,6/4,325,5.52,27.5,31,,7.96,5,San Diego Chargers / 5th / 149th pick / 2012
29,2012,Danny Trevathan,OLB,21,56,Kentucky,College Stats,6/1,237,4.84,31.5,18,111,,,Denver Broncos / 6th / 188th pick / 2012
30,2012,Nick Toon,WR,23,3,Wisconsin,College Stats,6/2,215,4.49,37.5,18,,,,New Orleans Saints / 4th / 122nd pick / 2012
31,2012,Andrew Tiller,OG,22,6,Syracuse,College Stats,6/4,324,5.44,23,16,85,7.92,4.8,New Orleans Saints / 6th / 179th pick / 2012
32,2012,Phillip Thomas,S,23,2,Syracuse,College Stats,5/11,198,4.68,33,14,122,,,Washington Redskins / 4th / 119th pick / 2013
33,2012,Christian Thompson,S,21,0,South Carolina State,,6/1,211,4.42,31.5,18,122,7.33,4.13,Baltimore Ravens / 4th / 130th pick / 2012
34,2012,Brandon Thompson,DT,22,7,Clemson,College Stats,6/2,314,5.2,31,35,100,7.97,4.71,Cincinnati Bengals / 3rd / 93rd pick / 2012
35,2012,Brandon Taylor,S,22,1,LSU,College Stats,5/11,209,4.52,33.5,,118,7.32,4.37,San Diego Chargers / 3rd / 73rd pick / 2012
36,2012,Ryan Tannehill,QB,23,89,Texas A&M,College Stats,6/4,221,4.65,,,,,,Miami Dolphins / 1st / 8th pick / 2012
37,2012,Alameda Ta'amu,DT,21,3,Washington,College Stats,6/2,348,5.3,26,35,103,,,Pittsburgh Steelers / 4th / 109th pick / 2012
38,2012,J.R. Sweezy,DT,22,55,North Carolina State,College Stats,6/5,298,4.97,36,21,113,7.4,4.41,Seattle Seahawks / 7th / 225th pick / 2012
39,2012,Nathan Stupar,OLB,23,10,Penn State,College Stats,6/2,241,4.65,31,21,116,6.84,4.28,Oakland Raiders / 7th / 230th pick / 2012
40,2012,Tommy Streeter,WR,22,0,Miami (FL),College Stats,6/5,219,4.37,33,17,125,7.08,,Baltimore Ravens / 6th / 198th pick / 2012
41,2012,Devon Still,DT,22,3,Penn State,College Stats,6/5,303,5.01,29.5,26,,,,Cincinnati Bengals / 2nd / 53rd pick / 2012
42,2012,Donald Stephenson,OT,23,20,Oklahoma,College Stats,6/5,312,4.94,35.5,19,114,7.52,4.78,Kansas City Chiefs / 3rd / 74th pick / 2012
43,2012,Ryan Steed,CB,21,0,Furman,,5/10,195,4.64,34,12,121,6.94,4.22,
