Rk,Year,Player,Pos,Age,AV,School,,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2019,Rock Ya-Sin,CB,22,8,Temple,College Stats,6/1,192,4.51,39.5,18,120,7.31,4.31,Indianapolis Colts / 2nd / 34th pick / 2019
2,2019,Oshane Ximines,EDGE,22,2,Old Dominion,College Stats,6/3,253,4.78,34,24,118,7.13,4.57,New York Giants / 3rd / 95th pick / 2019
3,2019,Renell Wren,DL,23,2,Arizona State,College Stats,6/5,318,5.01,32,30,118,7.65,4.53,Cincinnati Bengals / 4th / 125th pick / 2019
4,2019,Evan Worthington,S,,,Colorado,College Stats,6/2,212,4.63,33.5,17,121,7.07,4.37,
5,2019,Zedrick Woods,S,,,Mississippi,College Stats,5/11,205,4.29,34.5,19,122,7,4.15,
6,2019,Mitch Wishnowsky,P,27,4,Utah,College Stats,6/2,218,4.63,32.5,,117,,,San Francisco 49ers / 4th / 110th pick / 2019
7,2019,Daniel Wise,DL,23,,Kansas,College Stats,6/3,281,5.28,27.5,22,112,7.53,4.37,
8,2019,Chase Winovich,EDGE,23,11,Michigan,College Stats,6/3,256,4.59,30.5,18,116,6.94,4.11,New England Patriots / 3rd / 77th pick / 2019
9,2019,Andrew Wingard,S,22,5,Wyoming,College Stats,6/1,209,4.56,36.5,9,121,7.08,4.2,
10,2019,Mack Wilson,LB,21,7,Alabama,College Stats,6/1,240,,32,,117,,,Cleveland Browns / 5th / 155th pick / 2019
11,2019,Donovan Wilson,S,24,7,Texas A&M,College Stats,6/1,199,,36,18,127,,,Dallas Cowboys / 6th / 213th pick / 2019
12,2019,Caleb Wilson,TE,22,0,UCLA,College Stats,6/4,240,4.56,29,,113,7.2,4.4,Arizona Cardinals / 7th / 254th pick / 2019
13,2019,Trayveon Williams,RB,21,1,Texas A&M,College Stats,5/8,206,4.51,33,19,121,7.44,4.44,Cincinnati Bengals / 6th / 182nd pick / 2019
14,2019,Quinnen Williams,DL,21,12,Alabama,College Stats,6/3,303,4.83,30.5,,112,,,New York Jets / 1st / 3rd pick / 2019
15,2019,Khari Willis,S,22,8,Michigan State,College Stats,5/11,213,4.52,34.5,22,118,,,Indianapolis Colts / 4th / 109th pick / 2019
16,2019,Joejuan Williams,CB,21,1,Vanderbilt,College Stats,6/4,211,4.64,,17,,,,New England Patriots / 2nd / 45th pick / 2019
17,2019,Jonah Williams,OT,21,4,Alabama,College Stats,6/4,302,5.12,28,23,100,8.01,4.79,Cincinnati Bengals / 1st / 11th pick / 2019
18,2019,James Williams,RB,22,,Washington State,College Stats,5/9,197,4.58,36.5,,118,7.01,4.25,
19,2019,Greedy Williams,CB,21,4,LSU,College Stats,6/2,185,4.37,,,,,,Cleveland Browns / 2nd / 46th pick / 2019
20,2019,Gerald Willis,DL,23,0,Miami (FL),College Stats,6/2,302,,,,,,,
21,2019,Dexter Williams,RB,22,0,Notre Dame,College Stats,5/11,212,4.57,36,17,130,7,4.16,Green Bay Packers / 6th / 194th pick / 2019
22,2019,Christian Wilkins,DL,23,14,Clemson,College Stats,6/3,315,5.04,29.5,28,107,,4.55,Miami Dolphins / 1st / 13th pick / 2019
23,2019,Devin White,LB,21,25,LSU,College Stats,6/1,237,4.42,39.5,22,118,7.07,4.17,Tampa Bay Buccaneers / 1st / 5th pick / 2019
24,2019,Darius West,S,,,Kentucky,College Stats,5/11,208,4.39,33.5,19,113,,,
25,2019,Antoine Wesley,WR,21,,Texas Tech,College Stats,6/4,206,,37,6,117,7.07,4.26,
26,2019,Trevon Wesco,TE,23,0,West Virginia,College Stats,6/3,267,4.89,31,24,117,7.18,4.38,New York Jets / 4th / 121st pick / 2019
27,2019,Ken Webster,CB,22,3,Mississippi,College Stats,5/11,203,4.43,43,18,133,6.85,4.14,New England Patriots / 7th / 252nd pick / 2019
28,2019,Mike Weber,RB,21,,Ohio State,College Stats,5/10,211,4.47,33.5,22,,,,Dallas Cowboys / 7th / 218th pick / 2019
29,2019,Jamarius Way,WR,,,South Alabama,College Stats,6/3,215,4.63,32.5,16,119,,4.66,
30,2019,Armon Watts,DL,22,3,Arkansas,College Stats,6/5,300,5.23,,,,,,Minnesota Vikings / 6th / 190th pick / 2019
31,2019,Kahale Warring,TE,21,0,San Diego State,College Stats,6/5,252,4.67,36.5,19,122,7.21,4.25,Houston Texans / 3rd / 86th pick / 2019
32,2019,D'Andre Walker,EDGE,22,0,Georgia,College Stats,6/2,251,,,,,,,Tennessee Titans / 5th / 168th pick / 2019
33,2019,Andrew Van ginkel,LB,23,10,Wisconsin,College Stats,6/3,241,,38,17,123,6.89,4.14,Miami Dolphins / 5th / 151st pick / 2019
34,2019,Drue Tranquill,LB,23,3,Notre Dame,College Stats,6/2,234,4.57,37.5,31,122,6.94,4.14,Los Angeles Chargers / 4th / 130th pick / 2019
35,2019,Cole Tracy,K,,,LSU,College Stats,5/10,184,,,,,,,
36,2019,Jerry Tillery,DL,22,9,Notre Dame,College Stats,6/6,295,4.93,32,23,115,7.45,4.33,Los Angeles Chargers / 1st / 28th pick / 2019
37,2019,Juan Thornhill,S,23,9,Virginia,College Stats,6/1,205,4.42,44,21,141,,,Kansas City Chiefs / 2nd / 63rd pick / 2019
38,2019,Clayton Thorson,QB,23,,Northwestern,College Stats,6/4,222,,,,,,,Philadelphia Eagles / 5th / 167th pick / 2019
