Rk,Year,Player,Pos,Age,AV,School,,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2006,Vince Young,QB,22,36,Texas,College Stats,6/5,229,4.48,,,,,,Tennessee Titans / 1st / 3rd pick / 2006
2,2006,Ashton Youboty,CB,21,9,Ohio State,College Stats,6/1,189,4.44,,,,,,Buffalo Bills / 3rd / 70th pick / 2006
3,2006,James Wyche,DE,23,0,Syracuse,College Stats,6/5,262,4.63,33,27,116,7.75,4.51,Jacksonville Jaguars / 7th / 213th pick / 2006
4,2006,Claude Wroten,DT,22,2,LSU,College Stats,6/2,302,5.08,,,,,,St. Louis Rams / 3rd / 68th pick / 2006
5,2006,Rodrique Wright,DT,21,4,Texas,College Stats,6/5,300,5.08,32,31,110,7.84,4.51,Miami Dolphins / 7th / 226th pick / 2006
6,2006,Eric Winston,OT,22,64,Miami (FL),College Stats,6/7,310,4.94,29,,108,7.47,4.44,Houston Texans / 3rd / 66th pick / 2006
7,2006,Kamerion Wimbley,DE,22,53,Florida State,College Stats,6/4,248,4.61,38.5,24,129,6.97,4.48,Cleveland Browns / 1st / 13th pick / 2006
8,2006,Travis Wilson,WR,22,0,Oklahoma,College Stats,6/2,214,4.47,36.5,,120,6.7,3.99,Cleveland Browns / 3rd / 78th pick / 2006
9,2006,Mario Williams,DE,21,95,North Carolina State,College Stats,6/7,295,4.7,40.5,35,120,7.19,4.36,Houston Texans / 1st / 1st pick / 2006
10,2006,Leon Williams,ILB,22,9,Miami (FL),College Stats,6/3,245,4.54,,25,,,,Cleveland Browns / 4th / 110th pick / 2006
11,2006,Jimmy Williams,CB,22,5,Virginia Tech,College Stats,6/2,213,4.44,,,,,,Atlanta Falcons / 2nd / 37th pick / 2006
12,2006,Jamar Williams,OLB,21,5,Arizona State,College Stats,6/1,236,4.59,37,,120,7.03,4.29,Chicago Bears / 4th / 120th pick / 2006
13,2006,Demetrius Williams,WR,22,9,Oregon,College Stats,6/2,197,4.52,38,,127,6.84,4.08,Baltimore Ravens / 4th / 111th pick / 2006
14,2006,DeAngelo Williams,RB,22,73,Memphis,College Stats,5/9,214,4.45,35.5,25,121,,,Carolina Panthers / 1st / 27th pick / 2006
15,2006,Brandon Williams,WR,22,0,Wisconsin,College Stats,5/9,179,4.48,34.5,,115,6.87,4.07,San Francisco 49ers / 3rd / 84th pick / 2006
16,2006,Gerris Wilkinson,ILB,22,7,Georgia Tech,College Stats,6/3,233,4.66,39,19,122,7.21,4.17,New York Giants / 3rd / 96th pick / 2006
17,2006,LenDale White,RB,21,15,USC,College Stats,6/1,238,4.49,,,,,,Tennessee Titans / 2nd / 45th pick / 2006
18,2006,Donte Whitner,S,20,59,Ohio State,College Stats,5/10,204,4.4,40,18,132,,,Buffalo Bills / 1st / 8th pick / 2006
19,2006,Charlie Whitehurst,QB,23,7,Clemson,College Stats,6/5,223,4.75,33,,112,7,4.11,San Diego Chargers / 3rd / 81st pick / 2006
20,2006,Andrew Whitworth,OT,24,133,LSU,,6/7,334,5.16,30.5,28,112,8.23,4.83,Cincinnati Bengals / 2nd / 55th pick / 2006
21,2006,Guy Whimper,OT,22,14,East Carolina,College Stats,6/5,304,4.96,29,26,102,7.38,4.59,New York Giants / 4th / 129th pick / 2006
22,2006,Jeff Webb,WR,24,2,San Diego State,College Stats,6/2,211,4.4,37,,126,6.81,4.08,Kansas City Chiefs / 6th / 190th pick / 2006
23,2006,Dee Webb,CB,21,1,Florida,,5/11,183,4.41,36.5,,121,,,Jacksonville Jaguars / 7th / 236th pick / 2006
24,2006,Steve Weatherford,P,23,20,Illinois,College Stats,6/2,217,4.82,,,,,,
25,2006,Gabe Watson,DT,22,12,Michigan,,6/3,339,5.27,25,36,96,8.28,4.8,Arizona Cardinals / 4th / 107th pick / 2006
26,2006,Todd Watkins,WR,22,1,BYU,College Stats,6/2,202,4.4,36,15,118,7.13,4.24,Arizona Cardinals / 7th / 218th pick / 2006
27,2006,Pat Watkins,S,23,6,Florida State,College Stats,6/5,211,4.42,41,14,133,,,Dallas Cowboys / 5th / 138th pick / 2006
28,2006,Leon Washington,RB,23,34,Florida State,College Stats,5/8,201,4.42,32.5,17,105,6.94,4.37,New York Jets / 4th / 117th pick / 2006
29,2006,Kevin Simon,OLB,,,Tennessee,College Stats,5/10,235,4.89,28,26,103,7.69,4.32,Washington Redskins / 7th / 250th pick / 2006
30,2006,Cooper Wallace,TE,23,0,Auburn,College Stats,6/4,261,4.78,29,21,105,7.29,4.21,
31,2006,Delanie Walker,WR,21,47,Central Missouri State,,6/1,240,4.49,36.5,,118,,,San Francisco 49ers / 6th / 175th pick / 2006
32,2006,Marcus Vick,QB,21,0,Virginia Tech,College Stats,6/1,200,4.47,36,,117,6.94,4.08,
33,2006,Lawrence Vickers,FB,22,3,Colorado,College Stats,6/1,245,4.82,30.5,21,104,7.74,4.63,Cleveland Browns / 6th / 180th pick / 2006
34,2006,Stephen Tulloch,ILB,21,59,North Carolina State,College Stats,5/11,241,4.84,33.5,27,113,7.19,4.15,Tennessee Titans / 4th / 116th pick / 2006
35,2006,Jeremy Trueblood,OT,22,40,Boston Col.,,6/8,316,5.25,27.5,20,96,7.82,4.68,Tampa Bay Buccaneers / 2nd / 59th pick / 2006
36,2006,Michael Toudouze,OT,22,1,TCU,,6/6,303,5.12,26.5,23,100,7.45,4.7,Indianapolis Colts / 5th / 162nd pick / 2006
37,2006,David Thomas,TE,22,10,Texas,College Stats,6/3,252,4.67,37.5,19,113,7.05,4.34,New England Patriots / 3rd / 86th pick / 2006
38,2006,Darryl Tapp,DE,21,36,Virginia Tech,College Stats,6/2,252,4.83,33,27,109,7.31,4.48,Seattle Seahawks / 2nd / 63rd pick / 2006
39,2006,T.J. Williams,TE,,,North Carolina State,College Stats,6/2,269,4.72,34,25,111,7.49,4.54,Tampa Bay Buccaneers / 6th / 202nd pick / 2006
40,2006,Alan Zemaitis,CB,,,Penn State,College Stats,6/1,194,4.57,,,,,,Tampa Bay Buccaneers / 4th / 122nd pick / 2006
41,2006,Naufahu Tahi,FB,24,1,BYU,College Stats,6/1,254,4.85,29,35,101,7.72,4.7,
42,2006,Quinn Sypniewski,TE,23,2,Colorado,College Stats,6/6,268,4.77,32.5,20,114,7.09,4.52,Baltimore Ravens / 5th / 166th pick / 2006
43,2006,Boone Stutz,LS,23,0,Texas A&M,College Stats,6/6,259,5.06,,,,,,
44,2006,Zach Strief,OT,22,60,Northwestern,College Stats,6/8,330,5.38,21,19,94,8.01,4.83,New Orleans Saints / 7th / 210th pick / 2006
45,2006,Maurice Stovall,WR,21,5,Notre Dame,College Stats,6/4,217,4.57,35,,122,6.81,4.14,Tampa Bay Buccaneers / 3rd / 90th pick / 2006
46,2006,Montavious Stanley,DT,24,5,Louisville,College Stats,6/2,313,5.12,29,,106,8.06,4.6,Dallas Cowboys / 6th / 182nd pick / 2006
47,2006,Jason Spitz,OG,23,26,Louisville,College Stats,6/3,313,5.4,28.5,25,102,7.82,4.55,Green Bay Packers / 3rd / 75th pick / 2006
48,2006,Charles Spencer,OG,23,1,Pittsburgh,,6/5,352,5.25,,30,,,,Houston Texans / 3rd / 65th pick / 2006
49,2006,Isaac Sowells,OG,23,1,Indiana,,6/3,324,5.15,28.5,20,101,8.13,4.98,Cleveland Browns / 4th / 112th pick / 2006
