Rk,Year,Player,Pos,Age,AV,School,,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2001,Paul Zukauskas,OG,21,9,Boston Col.,College Stats,6/5,307,5.3,,22,,,,Cleveland Browns / 7th / 203rd pick / 2001
2,2001,Ellis Wyms,DE,21,15,Mississippi State,College Stats,6/3,285,4.97,28,,103,7.71,4.47,Tampa Bay Buccaneers / 6th / 183rd pick / 2001
3,2001,Shawn Worthen,DT,25,0,TCU,,6/1,310,5.18,30,23,103,7.5,4.61,Minnesota Vikings / 4th / 130th pick / 2001
4,2001,Brandon Winey,OT,23,3,LSU,,6/6,301,5.3,,,,,,Miami Dolphins / 6th / 164th pick / 2001
5,2001,Jamie Winborn,ILB,21,21,Vanderbilt,,5/11,229,4.63,35.5,,111,,,San Francisco 49ers / 2nd / 47th pick / 2001
6,2001,Cedrick Wilson,WR,22,25,Tennessee,College Stats,5/10,179,4.48,38,,123,,,San Francisco 49ers / 6th / 169th pick / 2001
7,2001,Maurice Williams,OT,22,54,Michigan,,6/5,304,5.2,,24,,,,Jacksonville Jaguars / 2nd / 43rd pick / 2001
8,2001,Marcus Williams,WR,23,0,Washington State,College Stats,6/5,230,4.56,41,,130,7.37,4.2,
9,2001,Louis Williams,OG,21,0,LSU,,6/4,299,5.48,28.5,25,103,7.86,4.67,Carolina Panthers / 7th / 211th pick / 2001
10,2001,Jimmy Williams,CB,21,10,Vanderbilt,College Stats,5/10,188,4.58,36,,120,7.12,,Buffalo Bills / 6th / 196th pick / 2001
11,2001,Brock Williams,CB,21,1,Notre Dame,College Stats,5/10,183,4.46,42.5,11,130,6.7,4.21,New England Patriots / 3rd / 86th pick / 2001
12,2001,Boo Williams,TE,21,11,Arkansas,College Stats,6/4,237,4.72,35.5,,119,7.1,4.33,
13,2001,Reggie White,RB,21,0,Oklahoma State,College Stats,6/1,228,4.58,37.5,17,114,7.48,4.4,
14,2001,James Whitley,CB,21,2,Michigan,College Stats,5/10,193,4.73,39,9,118,7.04,4.4,
15,2001,Eric Westmoreland,OLB,23,5,Tennessee,College Stats,6/1,236,4.63,36.5,21,115,7.47,4.21,Jacksonville Jaguars / 3rd / 73rd pick / 2001
16,2001,Chris Weinke,QB,28,9,Florida State,College Stats,6/4,226,5.2,,,,,,Carolina Panthers / 4th / 106th pick / 2001
17,2001,Reggie Wayne,WR,22,153,Miami (FL),College Stats,6/1,198,4.45,,,,,,Indianapolis Colts / 1st / 30th pick / 2001
18,2001,Gerard Warren,DT,22,61,Florida,,6/4,325,5,,,,,,Cleveland Browns / 1st / 3rd pick / 2001
19,2001,Raymond Walls,CB,21,4,Southern Miss,College Stats,5/11,176,4.51,39,,124,,4.18,Indianapolis Colts / 5th / 152nd pick / 2001
20,2001,Kenyatta Walker,OT,22,32,Florida,,6/5,311,5.17,31.5,24,109,7.7,4.6,Tampa Bay Buccaneers / 1st / 14th pick / 2001
21,2001,Fred Wakefield,DE,22,18,Illinois,College Stats,6/7,287,5.09,29,26,108,7.49,4.64,
22,2001,Keydrick Vincent,OG,22,40,Mississippi,,6/5,328,5.61,32.5,23,94,,,
23,2001,Michael Vick,QB,20,112,Virginia Tech,College Stats,6/1,210,4.33,,,,,,Atlanta Falcons / 1st / 1st pick / 2001
24,2001,Kyle Vanden Bosch,DE,22,71,Nebraska,,6/4,270,4.75,36.5,26,119,6.82,4.08,Arizona Cardinals / 2nd / 34th pick / 2001
25,2001,T.J. Turner,ILB,22,0,Michigan State,,6/3,273,4.8,,,,,,New England Patriots / 7th / 239th pick / 2001
26,2001,Marques Tuiasosopo,QB,21,1,Washington,College Stats,6/1,223,4.71,35.5,,115,7.36,4.35,Oakland Raiders / 2nd / 59th pick / 2001
27,2001,LaDainian Tomlinson,RB,21,158,TCU,College Stats,5/10,221,4.46,40.5,18,124,6.84,4.21,San Diego Chargers / 1st / 5th pick / 2001
28,2001,Anthony Thomas,RB,23,29,Michigan,College Stats,6/2,229,4.58,32.5,20,115,7.48,4.44,Chicago Bears / 2nd / 38th pick / 2001
29,2001,David Terrell,WR,21,12,Michigan,College Stats,6/3,213,4.43,,,,,,Chicago Bears / 1st / 8th pick / 2001
30,2001,Chris Taylor,WR,21,,Texas A&M,College Stats,5/11,183,4.4,35.5,,115,6.81,3.93,Pittsburgh Steelers / 7th / 218th pick / 2001
31,2001,Dauntae' Finger,TE,,,North Carolina,College Stats,6/4,262,5.09,33.5,15,103,7.95,4.59,Tampa Bay Buccaneers / 7th / 205th pick / 2001
32,2001,Joe Tafoya,DE,22,11,Arizona,,6/4,269,4.91,33,28,111,7.65,4.4,Tampa Bay Buccaneers / 7th / 234th pick / 2001
33,2001,Vinny Sutherland,WR,22,0,Purdue,College Stats,5/9,192,4.48,,,,,,Atlanta Falcons / 5th / 136th pick / 2001
34,2001,Marques Sullivan,OT,23,11,Illinois,,6/5,338,5.32,30.5,28,98,8.36,4.8,Buffalo Bills / 5th / 144th pick / 2001
35,2001,Alex Sulfsted,OG,23,2,Miami (OH),,6/4,312,5.3,30.5,,96,,,Kansas City Chiefs / 6th / 176th pick / 2001
36,2001,Marcus Stroud,DT,22,80,Georgia,,6/6,321,5.13,30,21,110,8.07,4.72,Jacksonville Jaguars / 1st / 13th pick / 2001
37,2001,Michael Stone,CB,23,4,Memphis,College Stats,5/11,191,4.51,41,17,127,,,Arizona Cardinals / 2nd / 54th pick / 2001
38,2001,Tony Stewart,TE,21,5,Penn State,College Stats,6/5,256,4.96,35.5,,109,7.3,4.4,Philadelphia Eagles / 5th / 147th pick / 2001
39,2001,Daleroy Stewart,DT,22,3,Southern Miss,,6/3,309,4.9,33,,110,7.75,4.72,Dallas Cowboys / 6th / 171st pick / 2001
40,2001,Kevin Stemke,P,22,1,Wisconsin,College Stats,6/2,187,,,,,,,
41,2001,Markus Steele,OLB,21,8,USC,,6/3,232,4.62,33,,119,7.15,4.5,Dallas Cowboys / 4th / 122nd pick / 2001
42,2001,Brandon Spoon,ILB,22,5,North Carolina,,6/2,245,4.75,35.5,33,110,7.3,4.15,Buffalo Bills / 4th / 110th pick / 2001
43,2001,Fred Smoot,CB,20,48,Mississippi State,College Stats,5/11,172,4.48,,,,,,Washington Redskins / 2nd / 45th pick / 2001
44,2001,Steve Smith,WR,21,139,Utah,College Stats,5/9,184,4.41,38.5,,121,7.44,4.25,Carolina Panthers / 3rd / 74th pick / 2001
45,2001,Omar Smith,OG,23,1,Kentucky,,6/2,293,5.33,30,21,98,,,
46,2001,Kenny Smith,DT,23,7,Alabama,College Stats,6/3,299,5.24,30,,100,8,4.8,New Orleans Saints / 3rd / 81st pick / 2001
47,2001,Justin Smith,DE,21,136,Missouri,College Stats,6/4,267,4.64,34,26,117,,,Cincinnati Bengals / 1st / 4th pick / 2001
48,2001,Dwight Smith,CB,22,39,Akron,College Stats,5/10,212,4.51,33.5,15,114,,,Tampa Bay Buccaneers / 3rd / 84th pick / 2001
49,2001,Marcel Shipp,RB,22,18,Massachusetts,,5/11,222,4.71,32.5,18,115,,,
50,2001,Alex Lincoln,ILB,,,Auburn,College Stats,6/1,251,4.77,35,22,111,,,San Francisco 49ers / 7th / 209th pick / 2001
51,2001,Menson Holloway,DE,,,Texas-El Paso,,6/2,284,4.9,34.5,19,111,7.54,4.43,San Francisco 49ers / 6th / 191st pick / 2001
52,2001,Richard Seymour,DT,21,113,Georgia,,6/6,299,4.95,,,,,,New England Patriots / 1st / 6th pick / 2001
53,2001,Josh Booty,QB,,,LSU,College Stats,6/2,221,4.9,29.5,,105,7.54,4.48,Seattle Seahawks / 6th / 172nd pick / 2001
54,2001,Elliot Silvers,OT,,,Washington,,6/7,348,5.43,31.5,19,99,7.81,4.66,San Diego Chargers / 5th / 132nd pick / 2001
55,2001,Cedric Scott,DE,23,1,Southern Miss,College Stats,6/6,281,4.86,35.5,23,107,7.67,4.37,New York Giants / 4th / 114th pick / 2001
56,2001,Carey Scott,CB,22,0,Kentucky State,,5/11,208,4.65,30,,113,7.52,4.18,Minnesota Vikings / 6th / 189th pick / 2001
