Rk,Year,Player,Pos,Age,AV,School,,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2016,Anthony Zettel,DT,23,9,Penn State,College Stats,6/4,277,4.81,30.5,28,109,7.63,4.39,Detroit Lions / 6th / 202nd pick / 2016
2,2016,Tavon Young,CB,21,11,Temple,College Stats,5/9,183,4.46,34.5,9,118,6.8,3.93,Baltimore Ravens / 4th / 104th pick / 2016
3,2016,Avery Young,OT,23,,Auburn,College Stats,6/5,328,5.39,,,,8.22,4.91,
4,2016,Connor Wujciak,DT,,,Boston Col.,College Stats,6/2,291,4.91,34.5,22,117,7.32,4.27,
5,2016,Scooby Wright III,ILB,21,1,Arizona,College Stats,6/1,239,4.9,31,22,113,,4.47,Cleveland Browns / 7th / 250th pick / 2016
6,2016,Daryl Worley,CB,21,19,West Virginia,College Stats,6/1,204,4.64,35.5,14,123,6.98,4.15,Carolina Panthers / 3rd / 77th pick / 2016
7,2016,Josh Woodrum,QB,23,,Liberty,,6/3,231,4.8,31,,116,6.74,4.31,
8,2016,Antwaun Woods,NT,23,16,USC,College Stats,6/1,318,5.18,,,,,,
9,2016,De'Runnya Wilson,WR,21,,Mississippi State,College Stats,6/5,224,4.85,28,,113,,,
10,2016,Jonathan Williams,RB,22,3,Arkansas,College Stats,5/11,220,4.56,,16,,,,Buffalo Bills / 5th / 156th pick / 2016
11,2016,Duke Williams,WR,,,Auburn,College Stats,6/2,229,4.72,30,14,121,7.43,4.47,
12,2016,Bryce Williams,TE,23,,East Carolina,College Stats,6/6,257,4.94,29.5,19,111,7.19,4.53,
13,2016,Brandon Williams,CB,23,4,Texas A&M,College Stats,5/11,197,4.37,30.5,18,118,6.85,4.19,Arizona Cardinals / 3rd / 92nd pick / 2016
14,2016,Brandon Wilds,RB,22,0,South Carolina,College Stats,6/1,220,4.54,36.5,21,118,7.08,4.33,
15,2016,D.J. White,CB,22,1,Georgia Tech,College Stats,5/11,193,4.49,33,17,132,7.18,4.33,Kansas City Chiefs / 6th / 178th pick / 2016
16,2016,Cody Whitehair,OT,23,34,Kansas State,College Stats,6/4,301,5.02,25.5,16,110,7.32,4.58,Chicago Bears / 2nd / 56th pick / 2016
17,2016,Christian Westerman,OG,23,2,Arizona State,College Stats,6/3,298,5.12,,34,98,7.69,4.71,Cincinnati Bengals / 5th / 161st pick / 2016
18,2016,Carson Wentz,QB,23,48,North Dakota State,,6/5,237,4.77,30.5,,118,6.86,4.15,Philadelphia Eagles / 1st / 2nd pick / 2016
19,2016,Stephen Weatherly,OLB,21,8,Vanderbilt,College Stats,6/4,267,4.61,31,23,117,,,Minnesota Vikings / 7th / 227th pick / 2016
20,2016,Deandre Washington,RB,23,13,Texas Tech,College Stats,5/8,204,4.49,34.5,24,116,7.03,4.2,Oakland Raiders / 5th / 143rd pick / 2016
21,2016,Adolphus Washington,DT,21,9,Ohio State,College Stats,6/3,301,5.17,27,21,99,8.06,4.79,Buffalo Bills / 3rd / 80th pick / 2016
22,2016,Jihad Ward,DT,21,11,Illinois,College Stats,6/5,297,5.11,25,20,111,7.38,4.63,Oakland Raiders / 2nd / 44th pick / 2016
23,2016,Dan Vitale,FB,22,1,Northwestern,College Stats,6/1,239,4.6,38.5,30,123,7.12,4.12,Tampa Bay Buccaneers / 6th / 197th pick / 2016
24,2016,Nick Vigil,ILB,22,22,Utah State,College Stats,6/2,239,4.72,31.5,,115,6.73,4,Cincinnati Bengals / 3rd / 87th pick / 2016
25,2016,Nick Vannett,TE,23,6,Ohio State,College Stats,6/6,257,4.76,30.5,17,111,7.05,4.2,Seattle Seahawks / 3rd / 94th pick / 2016
26,2016,Vincent Valentine,DT,22,2,Nebraska,College Stats,6/4,329,5.19,29,17,110,8.03,4.59,New England Patriots / 3rd / 96th pick / 2016
27,2016,Halapoulivaati Vaitai,OT,22,19,TCU,College Stats,6/6,320,5.26,29,23,113,8.26,5,Philadelphia Eagles / 5th / 164th pick / 2016
28,2016,Soma Vainuku,FB,23,,USC,College Stats,5/11,246,4.68,32,26,108,,,
29,2016,Landon Turner,OG,22,1,North Carolina,College Stats,6/4,330,5.58,19,30,88,,,
30,2016,Laremy Tunsil,OT,21,37,Mississippi,College Stats,6/5,310,5.23,,,,,,Miami Dolphins / 1st / 13th pick / 2016
31,2016,Max Tuerk,C,22,0,USC,College Stats,6/5,298,5.12,,22,,,,San Diego Chargers / 3rd / 66th pick / 2016
32,2016,Sebastian Tretola,OG,23,0,Arkansas,College Stats,6/4,314,5.45,23.5,22,90,7.94,5.02,Tennessee Titans / 6th / 193rd pick / 2016
33,2016,Laquon Treadwell,WR,20,6,Mississippi,College Stats,6/2,221,4.52,33,12,117,,,Minnesota Vikings / 1st / 23rd pick / 2016
