Rk,Year,Player,Pos,Age,AV,School,,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2013,Blidi Wreh-Wilson,CB,23,10,Connecticut,College Stats,6/1,195,4.53,36,14,128,6.97,4.12,Tennessee Titans / 3rd / 70th pick / 2013
2,2013,Khalid Wooten,CB,23,0,Nevada,College Stats,5/11,210,4.53,33.5,17,117,6.95,4.18,Tennessee Titans / 6th / 202nd pick / 2013
3,2013,Robert Woods,WR,20,59,USC,College Stats,6/1,201,4.51,33.5,14,117,7.15,4.47,Buffalo Bills / 2nd / 41st pick / 2013
4,2013,Cierre Wood,RB,22,0,Notre Dame,College Stats,5/11,213,4.56,37.5,16,124,,,
5,2013,Earl Wolff,S,23,4,North Carolina State,College Stats,5/11,209,4.44,39,,134,,4.07,Philadelphia Eagles / 5th / 136th pick / 2013
6,2013,Brian Winters,OG,21,36,Kent State,,6/4,320,5.22,,9,,,,New York Jets / 3rd / 72nd pick / 2013
7,2013,George Winn,RB,22,0,Cincinnati,College Stats,5/10,218,4.75,34.5,22,119,,,
8,2013,Brad Wing,P,22,8,LSU,College Stats,6/2,205,4.86,,,,,,
9,2013,Tyler Wilson,QB,23,,Arkansas,College Stats,6/2,215,4.95,28.5,,112,7.22,4.39,Oakland Raiders / 4th / 112th pick / 2013
10,2013,Marquess Wilson,WR,20,6,Washington State,College Stats,6/3,194,4.51,34.5,7,122,6.65,4.33,Chicago Bears / 7th / 236th pick / 2013
11,2013,Braden Wilson,FB,23,,Kansas State,College Stats,6/3,251,4.81,,22,,,,Kansas City Chiefs / 6th / 204th pick / 2013
12,2013,Trevardo Williams,OLB,22,0,Connecticut,College Stats,6/1,241,4.57,38,30,124,,,Houston Texans / 4th / 124th pick / 2013
13,2013,Tourek Williams,DE,21,5,Florida International,College Stats,6/3,260,4.92,33,25,112,,,San Diego Chargers / 6th / 179th pick / 2013
14,2013,Terrance Williams,WR,23,30,Baylor,College Stats,6/2,208,4.52,32.5,11,119,7.01,4.32,Dallas Cowboys / 3rd / 74th pick / 2013
15,2013,Sylvester Williams,DT,24,31,North Carolina,College Stats,6/3,313,5.03,26.5,27,102,7.93,4.8,Denver Broncos / 1st / 28th pick / 2013
16,2013,Steve Williams,CB,22,4,California,College Stats,5/9,181,4.42,40.5,12,128,6.89,4.1,San Diego Chargers / 5th / 145th pick / 2013
17,2013,Shawn Williams,S,21,27,Georgia,College Stats,6/1,213,4.46,36,25,120,7.01,4.25,Cincinnati Bengals / 3rd / 84th pick / 2013
18,2013,Nicholas Williams,DT,23,12,Samford,,6/4,309,4.94,33,28,111,7.55,4.65,Pittsburgh Steelers / 7th / 223rd pick / 2013
19,2013,Kerwynn Williams,RB,21,6,Utah State,College Stats,5/8,195,4.48,35,17,118,7.15,4.15,Indianapolis Colts / 7th / 230th pick / 2013
20,2013,Jesse Williams,DT,22,,Alabama,College Stats,6/3,323,4.94,,30,,,,Seattle Seahawks / 5th / 137th pick / 2013
21,2013,Duke Williams,S,22,8,Nevada,College Stats,5/11,203,4.48,37.5,13,126,,4,Buffalo Bills / 4th / 105th pick / 2013
22,2013,Brennan Williams,OT,22,,North Carolina,College Stats,6/6,318,5.27,,,,,,Houston Texans / 3rd / 89th pick / 2013
23,2013,Brandon Williams,DT,24,49,Missouri Southern,,6/1,335,5.37,29.5,38,102,8.09,4.91,Baltimore Ravens / 3rd / 94th pick / 2013
24,2013,J.J. Wilcox,S,22,17,Georgia Southern,,6/1,213,4.57,35,17,124,7.02,4.09,Dallas Cowboys / 3rd / 80th pick / 2013
25,2013,Markus Wheaton,WR,22,13,Oregon State,College Stats,5/11,189,4.45,37,20,120,6.8,4.02,Pittsburgh Steelers / 3rd / 79th pick / 2013
26,2013,John Wetzel,OT,21,11,Boston Col.,,6/7,315,5.46,25,22,105,7.9,4.81,
27,2013,Bjoern Werner,DE,22,10,Florida State,College Stats,6/3,266,4.83,31,25,111,7.3,4.4,Indianapolis Colts / 1st / 24th pick / 2013
28,2013,Kayvon Webster,CB,22,10,South Florida,College Stats,5/10,195,4.41,35,14,125,,,Denver Broncos / 3rd / 90th pick / 2013
29,2013,B.W. Webb,CB,22,15,William & Mary,,5/10,184,4.51,40.5,14,132,6.82,3.84,Dallas Cowboys / 4th / 114th pick / 2013
30,2013,Jason Weaver,OT,22,,Southern Miss,,6/4,313,5.44,21,23,94,8.23,5.07,
31,2013,Menelik Watson,OT,24,10,Florida State,,6/5,310,5.29,24.5,,103,8.31,5.01,Oakland Raiders / 2nd / 42nd pick / 2013
32,2013,Earl Watford,OG,22,16,James Madison,,6/3,300,5.06,30,24,107,7.77,5,Arizona Cardinals / 4th / 116th pick / 2013
33,2013,Cornelius Washington,DE,23,5,Georgia,College Stats,6/4,265,4.55,39,36,128,,,Chicago Bears / 6th / 188th pick / 2013
34,2013,Chance Warmack,OG,21,24,Alabama,College Stats,6/2,317,5.49,,,110,,,Tennessee Titans / 1st / 10th pick / 2013
35,2013,Larry Warford,OG,21,60,Kentucky,,6/3,332,5.58,22.5,28,96,7.78,5.1,Detroit Lions / 3rd / 65th pick / 2013
36,2013,Spencer Ware,RB,21,18,LSU,College Stats,5/10,228,4.62,,,,,,Seattle Seahawks / 6th / 194th pick / 2013
37,2013,Ricky Wagner,OT,23,48,Wisconsin,,6/6,308,5.17,31.5,20,101,7.94,4.91,Baltimore Ravens / 5th / 168th pick / 2013
38,2013,Conner Vernon,WR,22,,Duke,College Stats,6/1,196,4.68,32.5,,125,6.93,4.22,
39,2013,Kenny Vaccaro,S,22,40,Texas,College Stats,6/1,214,4.63,38,15,121,6.78,4.06,New Orleans Saints / 1st / 15th pick / 2013
40,2013,Matthew Tucker,RB,21,0,TCU,College Stats,6/1,221,4.55,35.5,17,118,,,
41,2013,Desmond Trufant,CB,22,41,Washington,College Stats,6/1,190,4.38,37.5,16,125,,3.85,Atlanta Falcons / 1st / 22nd pick / 2013
42,2013,J.C. Tretter,OG,22,35,Cornell,,6/4,307,5.09,29.5,29,109,7.48,4.69,Green Bay Packers / 4th / 122nd pick / 2013
43,2013,Levine Toilolo,TE,21,8,Stanford,College Stats,6/8,260,4.86,31,17,113,7.09,4.57,Atlanta Falcons / 4th / 133rd pick / 2013
44,2013,Hugh Thornton,OG,21,17,Illinois,College Stats,6/3,320,5.11,,27,,7.45,4.63,Indianapolis Colts / 3rd / 86th pick / 2013
45,2013,Shamarko Thomas,S,22,5,Syracuse,College Stats,5/9,213,4.42,40.5,28,133,,4.26,Pittsburgh Steelers / 4th / 111th pick / 2013
46,2013,Phillip Thomas,S,24,2,Fresno State,College Stats,6/1,208,4.65,35,14,122,,,Washington Redskins / 4th / 119th pick / 2013
47,2013,Kenbrell Thompkins,WR,24,7,Cincinnati,College Stats,6/1,193,4.54,33.5,8,121,6.88,4.21,
48,2013,Dallas Thomas,OT,23,13,Tennessee,,6/5,306,5.08,,,,,,Miami Dolphins / 3rd / 77th pick / 2013
